Type Ctrl-C to quit.
2026-06-01 04:13:58+00:00 | (287654 files, 11% size)
2026-06-01 04:14:08+00:00 | (287694 files, 11% size)
2026-06-01 04:14:18+00:00 | (287734 files, 11% size)
2026-06-01 04:14:28+00:00 | (287774 files, 11% size)
2026-06-01 04:14:38+00:00 | (287814 files, 11% size)
2026-06-01 04:14:48+00:00 | (287854 files, 11% size)
2026-06-01 04:14:58+00:00 | (287894 files, 11% size)
2026-06-01 04:15:08+00:00 | (287934 files, 11% size)
2026-06-01 04:15:18+00:00 | (287974 files, 11% size)
2026-06-01 04:15:28+00:00 | (288014 files, 11% size)
2026-06-01 04:15:38+00:00 | (288054 files, 11% size)
2026-06-01 04:15:48+00:00 | (288094 files, 11% size)
2026-06-01 04:15:58+00:00 | (288134 files, 11% size)
2026-06-01 04:16:08+00:00 | (288174 files, 11% size)
2026-06-01 04:16:18+00:00 | (288214 files, 11% size)
2026-06-01 04:16:28+00:00 | (288254 files, 11% size)
2026-06-01 04:16:38+00:00 | (288294 files, 11% size)
2026-06-01 04:16:48+00:00 | (288334 files, 11% size)
2026-06-01 04:16:58+00:00 | (288374 files, 11% size)
2026-06-01 04:17:08+00:00 | (288414 files, 11% size)
2026-06-01 04:17:18+00:00 | (288454 files, 11% size)
2026-06-01 04:17:28+00:00 | (288494 files, 11% size)
2026-06-01 04:17:38+00:00 | (288534 files, 11% size)
2026-06-01 04:17:48+00:00 | (288574 files, 11% size)
2026-06-01 04:17:58+00:00 | (288614 files, 11% size)
2026-06-01 04:18:08+00:00 | (288654 files, 11% size)
2026-06-01 04:18:18+00:00 | (288694 files, 11% size)
2026-06-01 04:18:28+00:00 | (288734 files, 11% size)
2026-06-01 04:18:38+00:00 | (288774 files, 11% size)
2026-06-01 04:18:48+00:00 | (288814 files, 11% size)
2026-06-01 04:18:58+00:00 | (288854 files, 11% size)
2026-06-01 04:19:08+00:00 | (288894 files, 11% size)
2026-06-01 04:19:18+00:00 | (288934 files, 11% size)
2026-06-01 04:19:28+00:00 | (288974 files, 11% size)
2026-06-01 04:19:38+00:00 | (289014 files, 11% size)
2026-06-01 04:19:48+00:00 | (289054 files, 11% size)
2026-06-01 04:19:58+00:00 | (289094 files, 11% size)
2026-06-01 04:20:08+00:00 | (289134 files, 11% size)
2026-06-01 04:20:18+00:00 | (289174 files, 11% size)
2026-06-01 04:20:28+00:00 | (289214 files, 11% size)
2026-06-01 04:20:38+00:00 | (289254 files, 11% size)
2026-06-01 04:20:48+00:00 | (289294 files, 11% size)
2026-06-01 04:20:58+00:00 | (289334 files, 11% size)
2026-06-01 04:21:08+00:00 | (289374 files, 11% size)
2026-06-01 04:21:18+00:00 | (289414 files, 11% size)
2026-06-01 04:21:28+00:00 | (289454 files, 11% size)
2026-06-01 04:21:38+00:00 | (289494 files, 11% size)
2026-06-01 04:21:48+00:00 | (289534 files, 11% size)
2026-06-01 04:21:58+00:00 | (289574 files, 11% size)
2026-06-01 04:22:08+00:00 | (289614 files, 11% size)
2026-06-01 04:22:18+00:00 | (289654 files, 11% size)
2026-06-01 04:22:28+00:00 | (289694 files, 11% size)
2026-06-01 04:22:38+00:00 | (289734 files, 11% size)
2026-06-01 04:22:48+00:00 | (289774 files, 11% size)
2026-06-01 04:22:58+00:00 | (289814 files, 11% size)
2026-06-01 04:23:08+00:00 | (289854 files, 11% size)
2026-06-01 04:23:18+00:00 | (289894 files, 11% size)
2026-06-01 04:23:28+00:00 | (289934 files, 11% size)
2026-06-01 04:23:38+00:00 | (289974 files, 11% size)
2026-06-01 04:23:48+00:00 | (290014 files, 11% size)
2026-06-01 04:23:58+00:00 | (290054 files, 11% size)
2026-06-01 04:24:08+00:00 | (290094 files, 11% size)
2026-06-01 04:24:18+00:00 | (290134 files, 11% size)
2026-06-01 04:24:28+00:00 | (290174 files, 11% size)
2026-06-01 04:24:38+00:00 | (290214 files, 11% size)
2026-06-01 04:24:48+00:00 | (290254 files, 11% size)
2026-06-01 04:24:58+00:00 | (290294 files, 11% size)
2026-06-01 04:25:08+00:00 | (290334 files, 11% size)
2026-06-01 04:25:18+00:00 | (290374 files, 11% size)
2026-06-01 04:25:28+00:00 | (290414 files, 11% size)
2026-06-01 04:25:38+00:00 | (290454 files, 11% size)
2026-06-01 04:25:48+00:00 | (290494 files, 11% size)
2026-06-01 04:25:58+00:00 | (290534 files, 11% size)
2026-06-01 04:26:08+00:00 | (290574 files, 11% size)
2026-06-01 04:26:18+00:00 | (290614 files, 11% size)
2026-06-01 04:26:28+00:00 | (290654 files, 11% size)
2026-06-01 04:26:38+00:00 | (290694 files, 11% size)
2026-06-01 04:26:48+00:00 | (290734 files, 11% size)
2026-06-01 04:26:58+00:00 | (290774 files, 11% size)
2026-06-01 04:27:08+00:00 | (290814 files, 11% size)
2026-06-01 04:27:18+00:00 | (290854 files, 11% size)
2026-06-01 04:27:28+00:00 | (290894 files, 11% size)
2026-06-01 04:27:38+00:00 | (290934 files, 11% size)
2026-06-01 04:27:48+00:00 | (290974 files, 11% size)
2026-06-01 04:27:58+00:00 | (291014 files, 11% size)
2026-06-01 04:28:08+00:00 | (291054 files, 11% size)
2026-06-01 04:28:18+00:00 | (291094 files, 11% size)
2026-06-01 04:28:28+00:00 | (291134 files, 11% size)
2026-06-01 04:28:38+00:00 | (291174 files, 11% size)
2026-06-01 04:28:48+00:00 | (291214 files, 11% size)
2026-06-01 04:28:58+00:00 | (291254 files, 11% size)
2026-06-01 04:29:08+00:00 | (291294 files, 11% size)
2026-06-01 04:29:18+00:00 | (291334 files, 11% size)
2026-06-01 04:29:28+00:00 | (291374 files, 11% size)
2026-06-01 04:29:38+00:00 | (291414 files, 11% size)
2026-06-01 04:29:48+00:00 | (291454 files, 11% size)
2026-06-01 04:29:58+00:00 | (291494 files, 11% size)
2026-06-01 04:30:08+00:00 | (291534 files, 11% size)
2026-06-01 04:30:18+00:00 | (291574 files, 11% size)
2026-06-01 04:30:28+00:00 | (291614 files, 11% size)
2026-06-01 04:30:38+00:00 | (291654 files, 11% size)
2026-06-01 04:30:48+00:00 | (291694 files, 11% size)
2026-06-01 04:30:58+00:00 | (291734 files, 11% size)
2026-06-01 04:31:08+00:00 | (291774 files, 11% size)
2026-06-01 04:31:18+00:00 | (291814 files, 11% size)
2026-06-01 04:31:28+00:00 | (291854 files, 11% size)
2026-06-01 04:31:38+00:00 | (291894 files, 11% size)
2026-06-01 04:31:48+00:00 | (291934 files, 11% size)
2026-06-01 04:31:58+00:00 | (291974 files, 11% size)
2026-06-01 04:32:08+00:00 | (292014 files, 11% size)
2026-06-01 04:32:18+00:00 | (292054 files, 11% size)
2026-06-01 04:32:28+00:00 | (292094 files, 11% size)
2026-06-01 04:32:38+00:00 | (292134 files, 11% size)
2026-06-01 04:32:48+00:00 | (292174 files, 11% size)
2026-06-01 04:32:58+00:00 | (292214 files, 11% size)
2026-06-01 04:33:08+00:00 | (292254 files, 11% size)
2026-06-01 04:33:18+00:00 | (292294 files, 11% size)
2026-06-01 04:33:28+00:00 | (292334 files, 11% size)
2026-06-01 04:33:38+00:00 | (292374 files, 11% size)
2026-06-01 04:33:48+00:00 | (292414 files, 11% size)
2026-06-01 04:33:58+00:00 | (292454 files, 11% size)
2026-06-01 04:34:08+00:00 | (292494 files, 11% size)
2026-06-01 04:34:18+00:00 | (292534 files, 11% size)
2026-06-01 04:34:28+00:00 | (292574 files, 11% size)
2026-06-01 04:34:38+00:00 | (292614 files, 11% size)
2026-06-01 04:34:48+00:00 | (292654 files, 11% size)
2026-06-01 04:34:58+00:00 | (292694 files, 11% size)
2026-06-01 04:35:08+00:00 | (292734 files, 11% size)
2026-06-01 04:35:18+00:00 | (292774 files, 11% size)
2026-06-01 04:35:28+00:00 | (292814 files, 11% size)
2026-06-01 04:35:38+00:00 | (292854 files, 11% size)
2026-06-01 04:35:48+00:00 | (292894 files, 11% size)
2026-06-01 04:35:58+00:00 | (292934 files, 11% size)
2026-06-01 04:36:08+00:00 | (292974 files, 11% size)
2026-06-01 04:36:18+00:00 | (293014 files, 11% size)
2026-06-01 04:36:28+00:00 | (293054 files, 11% size)
2026-06-01 04:36:38+00:00 | (293094 files, 11% size)
2026-06-01 04:36:48+00:00 | (293134 files, 11% size)
2026-06-01 04:36:58+00:00 | (293174 files, 11% size)
2026-06-01 04:37:08+00:00 | (293214 files, 11% size)
2026-06-01 04:37:18+00:00 | (293254 files, 11% size)
2026-06-01 04:37:28+00:00 | (293294 files, 11% size)
2026-06-01 04:37:38+00:00 | (293334 files, 11% size)
2026-06-01 04:37:48+00:00 | (293374 files, 11% size)
2026-06-01 04:37:58+00:00 | (293414 files, 11% size)
2026-06-01 04:38:08+00:00 | (293454 files, 11% size)
2026-06-01 04:38:18+00:00 | (293494 files, 11% size)
2026-06-01 04:38:28+00:00 | (293534 files, 11% size)
2026-06-01 04:38:38+00:00 | (293574 files, 11% size)
2026-06-01 04:38:48+00:00 | (293614 files, 11% size)
2026-06-01 04:38:58+00:00 | (293654 files, 11% size)
2026-06-01 04:39:08+00:00 | (293694 files, 11% size)
2026-06-01 04:39:18+00:00 | (293734 files, 11% size)
2026-06-01 04:39:28+00:00 | (293774 files, 11% size)
2026-06-01 04:39:38+00:00 | (293814 files, 11% size)
2026-06-01 04:39:48+00:00 | (293854 files, 11% size)
2026-06-01 04:39:58+00:00 | (293894 files, 11% size)
2026-06-01 04:40:08+00:00 | (293934 files, 11% size)
2026-06-01 04:40:18+00:00 | (293974 files, 11% size)
2026-06-01 04:40:28+00:00 | (294014 files, 11% size)
2026-06-01 04:40:38+00:00 | (294054 files, 11% size)
2026-06-01 04:40:48+00:00 | (294094 files, 11% size)
2026-06-01 04:40:58+00:00 | (294134 files, 11% size)
2026-06-01 04:41:08+00:00 | (294174 files, 11% size)
2026-06-01 04:41:18+00:00 | (294214 files, 11% size)
2026-06-01 04:41:28+00:00 | (294254 files, 11% size)
2026-06-01 04:41:38+00:00 | (294294 files, 11% size)
2026-06-01 04:41:48+00:00 | (294334 files, 11% size)
2026-06-01 04:41:58+00:00 | (294374 files, 11% size)
2026-06-01 04:42:08+00:00 | (294414 files, 11% size)
2026-06-01 04:42:18+00:00 | (294454 files, 11% size)
2026-06-01 04:42:28+00:00 | (294494 files, 11% size)
2026-06-01 04:42:38+00:00 | (294534 files, 11% size)
2026-06-01 04:42:48+00:00 | (294574 files, 11% size)
2026-06-01 04:42:58+00:00 | (294614 files, 11% size)
2026-06-01 04:43:08+00:00 | (294654 files, 11% size)
2026-06-01 04:43:18+00:00 | (294694 files, 11% size)
2026-06-01 04:43:28+00:00 | (294734 files, 11% size)
2026-06-01 04:43:38+00:00 | (294774 files, 11% size)
2026-06-01 04:43:48+00:00 | (294814 files, 11% size)
2026-06-01 04:43:58+00:00 | (294854 files, 11% size)
2026-06-01 04:44:08+00:00 | (294894 files, 11% size)
2026-06-01 04:44:18+00:00 | (294934 files, 11% size)
2026-06-01 04:44:28+00:00 | (294974 files, 11% size)
2026-06-01 04:44:38+00:00 | (295014 files, 11% size)
2026-06-01 04:44:48+00:00 | (295054 files, 11% size)
2026-06-01 04:44:58+00:00 | (295094 files, 11% size)
2026-06-01 04:45:08+00:00 | (295134 files, 11% size)
2026-06-01 04:45:18+00:00 | (295174 files, 11% size)
2026-06-01 04:45:28+00:00 | (295214 files, 11% size)
2026-06-01 04:45:38+00:00 | (295254 files, 11% size)
2026-06-01 04:45:48+00:00 | (295294 files, 11% size)
2026-06-01 04:45:58+00:00 | (295334 files, 11% size)
2026-06-01 04:46:08+00:00 | (295374 files, 11% size)
2026-06-01 04:46:18+00:00 | (295414 files, 11% size)
2026-06-01 04:46:28+00:00 | (295454 files, 11% size)
2026-06-01 04:46:38+00:00 | (295494 files, 11% size)
2026-06-01 04:46:48+00:00 | (295534 files, 11% size)
2026-06-01 04:46:58+00:00 | (295574 files, 11% size)
2026-06-01 04:47:08+00:00 | (295614 files, 11% size)
2026-06-01 04:47:18+00:00 | (295654 files, 11% size)
2026-06-01 04:47:28+00:00 | (295694 files, 11% size)
2026-06-01 04:47:38+00:00 | (295734 files, 11% size)
2026-06-01 04:47:48+00:00 | (295774 files, 11% size)
2026-06-01 04:47:58+00:00 | (295814 files, 11% size)
2026-06-01 04:48:08+00:00 | (295854 files, 11% size)
2026-06-01 04:48:18+00:00 | (295894 files, 11% size)
2026-06-01 04:48:28+00:00 | (295934 files, 11% size)
2026-06-01 04:48:38+00:00 | (295974 files, 11% size)
2026-06-01 04:48:48+00:00 | (296014 files, 11% size)
2026-06-01 04:48:58+00:00 | (296054 files, 11% size)
2026-06-01 04:49:08+00:00 | (296094 files, 11% size)
2026-06-01 04:49:18+00:00 | (296134 files, 11% size)
2026-06-01 04:49:28+00:00 | (296174 files, 11% size)
2026-06-01 04:49:38+00:00 | (296214 files, 11% size)
2026-06-01 04:49:48+00:00 | (296254 files, 11% size)
2026-06-01 04:49:58+00:00 | (296294 files, 11% size)
2026-06-01 04:50:08+00:00 | (296334 files, 11% size)
2026-06-01 04:50:18+00:00 | (296374 files, 11% size)
2026-06-01 04:50:28+00:00 | (296414 files, 11% size)
2026-06-01 04:50:38+00:00 | (296454 files, 11% size)
2026-06-01 04:50:48+00:00 | (296494 files, 11% size)
2026-06-01 04:50:58+00:00 | (296534 files, 11% size)
2026-06-01 04:51:08+00:00 | (296574 files, 11% size)
2026-06-01 04:51:18+00:00 | (296614 files, 11% size)
2026-06-01 04:51:28+00:00 | (296654 files, 11% size)
2026-06-01 04:51:38+00:00 | (296694 files, 11% size)
2026-06-01 04:51:48+00:00 | (296734 files, 11% size)
2026-06-01 04:51:58+00:00 | (296774 files, 11% size)
2026-06-01 04:52:08+00:00 | (296814 files, 11% size)
2026-06-01 04:52:18+00:00 | (296854 files, 11% size)
2026-06-01 04:52:28+00:00 | (296894 files, 11% size)
2026-06-01 04:52:38+00:00 | (296934 files, 11% size)
2026-06-01 04:52:48+00:00 | (296974 files, 11% size)
2026-06-01 04:52:58+00:00 | (297014 files, 11% size)
2026-06-01 04:53:08+00:00 | (297054 files, 11% size)
2026-06-01 04:53:18+00:00 | (297094 files, 11% size)
2026-06-01 04:53:28+00:00 | (297134 files, 11% size)
2026-06-01 04:53:38+00:00 | (297174 files, 11% size)
2026-06-01 04:53:48+00:00 | (297214 files, 11% size)
2026-06-01 04:53:58+00:00 | (297254 files, 11% size)
2026-06-01 04:54:08+00:00 | (297294 files, 11% size)
2026-06-01 04:54:18+00:00 | (297334 files, 11% size)
2026-06-01 04:54:28+00:00 | (297374 files, 11% size)
2026-06-01 04:54:38+00:00 | (297414 files, 11% size)
2026-06-01 04:54:48+00:00 | (297454 files, 11% size)
2026-06-01 04:54:58+00:00 | (297494 files, 11% size)
2026-06-01 04:55:08+00:00 | (297534 files, 11% size)
2026-06-01 04:55:18+00:00 | (297574 files, 11% size)
2026-06-01 04:55:28+00:00 | (297614 files, 11% size)
2026-06-01 04:55:38+00:00 | (297654 files, 11% size)
2026-06-01 04:55:48+00:00 | (297694 files, 11% size)
2026-06-01 04:55:58+00:00 | (297734 files, 11% size)
2026-06-01 04:56:08+00:00 | (297774 files, 11% size)
2026-06-01 04:56:18+00:00 | (297814 files, 11% size)
2026-06-01 04:56:28+00:00 | (297854 files, 11% size)
2026-06-01 04:56:38+00:00 | (297894 files, 11% size)
2026-06-01 04:56:48+00:00 | (297934 files, 11% size)
2026-06-01 04:56:58+00:00 | (297974 files, 11% size)
2026-06-01 04:57:08+00:00 | (298014 files, 11% size)
2026-06-01 04:57:18+00:00 | (298054 files, 11% size)
2026-06-01 04:57:28+00:00 | (298094 files, 11% size)
2026-06-01 04:57:38+00:00 | (298134 files, 11% size)
2026-06-01 04:57:48+00:00 | (298174 files, 11% size)
2026-06-01 04:57:58+00:00 | (298214 files, 11% size)
2026-06-01 04:58:08+00:00 | (298254 files, 11% size)
2026-06-01 04:58:18+00:00 | (298294 files, 11% size)
2026-06-01 04:58:28+00:00 | (298334 files, 11% size)
2026-06-01 04:58:38+00:00 | (298374 files, 11% size)
2026-06-01 04:58:48+00:00 | (298414 files, 11% size)
2026-06-01 04:58:58+00:00 | (298454 files, 11% size)
2026-06-01 04:59:08+00:00 | (298494 files, 11% size)
2026-06-01 04:59:18+00:00 | (298534 files, 11% size)
2026-06-01 04:59:28+00:00 | (298574 files, 11% size)
2026-06-01 04:59:38+00:00 | (298614 files, 11% size)
2026-06-01 04:59:48+00:00 | (298654 files, 11% size)
2026-06-01 04:59:58+00:00 | (298694 files, 11% size)
2026-06-01 05:00:08+00:00 | (298734 files, 11% size)
2026-06-01 05:00:18+00:00 | (298774 files, 11% size)
2026-06-01 05:00:28+00:00 | (298814 files, 11% size)
2026-06-01 05:00:38+00:00 | (298854 files, 11% size)
2026-06-01 05:00:48+00:00 | (298894 files, 11% size)
2026-06-01 05:00:58+00:00 | (298934 files, 11% size)
2026-06-01 05:01:08+00:00 | (298974 files, 11% size)
2026-06-01 05:01:18+00:00 | (299014 files, 11% size)
2026-06-01 05:01:28+00:00 | (299054 files, 11% size)
2026-06-01 05:01:38+00:00 | (299094 files, 11% size)
2026-06-01 05:01:48+00:00 | (299134 files, 11% size)
2026-06-01 05:01:58+00:00 | (299174 files, 11% size)
2026-06-01 05:02:08+00:00 | (299214 files, 11% size)
2026-06-01 05:02:18+00:00 | (299254 files, 11% size)
2026-06-01 05:02:28+00:00 | (299294 files, 11% size)
2026-06-01 05:02:38+00:00 | (299334 files, 11% size)
2026-06-01 05:02:48+00:00 | (299374 files, 11% size)
2026-06-01 05:02:58+00:00 | (299414 files, 11% size)
2026-06-01 05:03:08+00:00 | (299454 files, 12% size)
2026-06-01 05:03:18+00:00 | (299494 files, 12% size)
2026-06-01 05:03:28+00:00 | (299534 files, 12% size)
2026-06-01 05:03:38+00:00 | (299574 files, 12% size)
2026-06-01 05:03:48+00:00 | (299614 files, 12% size)
2026-06-01 05:03:58+00:00 | (299654 files, 12% size)
2026-06-01 05:04:08+00:00 | (299694 files, 12% size)
2026-06-01 05:04:18+00:00 | (299734 files, 12% size)
2026-06-01 05:04:28+00:00 | (299774 files, 12% size)
2026-06-01 05:04:38+00:00 | (299814 files, 12% size)
2026-06-01 05:04:48+00:00 | (299854 files, 12% size)
2026-06-01 05:04:58+00:00 | (299894 files, 12% size)
2026-06-01 05:05:08+00:00 | (299934 files, 12% size)
2026-06-01 05:05:18+00:00 | (299974 files, 12% size)
